position_infos
"5、熟悉金融和银行业务知识6、工作年限3年以上
职能类别：
大数据开发/分析

关键字：
SAS
R语言
python
金融
大数据分析
数据挖掘
机器学习
"
position_infos
"岗位职责：负责物联网平台设计和实现 任职要求：1、5年以上互联网编程经验，2年以上python web编程经验2、扎实的计算机知识3、掌握python编程基础，熟悉常用开源库4、有良好的编码风格5、具备设计大并发的能力6、对并发、异步有深刻的理解7、有物联网平台开发者优先 员工福利：1. 上班时间 9:30-18:30， 5*7.5小时工作制，周末和法定节假日双休。2. 五险一金，带薪年假，带薪病假，绩效奖金，年终奖，年度体检，年度旅游。3. 每月生日会，节假日礼品，免费健身房，每周固定瑜伽课、羽毛球俱乐部、狼人杀桌游等活动。4. 公司自营西餐厅咖啡厅，给员工供应早餐、午餐和下午茶。
职能类别：
高级软件工程师

关键字：
Python高级
"
position_infos
"1、负责公司金融产品线服务端模块开发;2、负责服务端API开发、性能调优以及维护。工作要求：1、熟练使用Python，熟悉webpy, Flask, Tornado等框架， 构建过nginx+uWSGI+python的web-service；2、熟悉分布式系统，对网络和并发编程有丰富的经验，熟悉Linux/Unix平台，熟悉Shell脚本；3、熟悉mysql，熟练使用redis、memcache、MQ等第三方组件；4、对于使用过的开源软件，能了解到它的原理和机制；5、喜欢尝试新的技术，对技术趋势和思路上能提出自己的见解；6、熟悉C++，nginx+lua优先；7、有C++开发经验的有意转Python服务开发，我们一样欢迎。
职能类别：
软件工程师
"
position_infos
"Python工程师1名 工作职责：1、参与项目产品推荐研发工作，分析系统大数据；2、深入理解业务以及机器学习，数据挖掘等技术，持续提升推荐效果。3、参与公司AI和产品的开发，参与核心代码和软件的编写；4、能够独立完成详细设计及编码、进行代码审查；职位要求：1、本科及以上学历，硕士优先。统计、计算机、应用数学、人工智能、模式识别等相关专业。两年以上工作经验。2、熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；3、至少精通Python、Java或者其他语言中的一种，有较强的编程能力；4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；
职能类别：
软件工程师
高级软件工程师

关键字：
Python
工程师
Python工程师
数据分析
PythonAI
"
position_infos
"1、本科以上学历，计算机相关专业毕业，2年以上相关工作经验2、熟练使用python语言进行开发，熟悉django、web.py框架,熟练掌握正则表达式、PIL库、图像处理等基本技能3、有OCR文本识别、深度学习图片识别及票据识别等工作经验者优先4、至少有一种关系型数据库（ MySQL/Oracle/SQL Server等）的开发经验5、自我学习能力强，分析解决问题能力强，积极主动，善于沟通交流，有责任感，有团队协作精神，对新技术敏感，能承担一定压力
职能类别：
高级软件工程师
"
position_infos
"岗位职责1.负责内容爬取后，开发抽取规则，对精选内容进行批量抽取，并不断细化规则和维护整个工作的稳定性。2.负责设计和开发网络爬虫应用，进行互联网相关信息的抓取和分析；3.负责网页信息抽取技术的研究和开发；4.负责解决爬取过程中的问题； 任职要求：1、熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、CSS等网页信息；2、精通Python/java 编程语言，精通Javascript，对HTTP协议及HTML有深入的了解；3、精通正则表达式，用于从各种网络结构化和非结构化数据中抽取有用的信息；4、熟练掌握数据库开发，对数据处理和数据质量有较深认识；精通至少一种主流数据NoSQL、mysql数据库；5、熟悉http client、js, ajax, webdriver、htmlunit、Nutch、selenium、ETL、HtmlParser、Jsoup，webmagic等技术优先；6、有海量数据爬取经验者优先；有爬取过微博，微信，淘宝等平台数据优先；具有自然语言处理、机器学习背景优先。7、经验3-5年 / 大专及以上 / 全职工作地点：深圳工资待遇 10K-15K以上联系人：张小姐 13544249005
职能类别：
高级软件工程师
"
position_infos
"1.3年以上的php后端开发经验；2.熟悉linux服务器、相关环境的部署和维护、已经相关的优化，熟练掌握Shell脚本语言；3.2年以上python开发经验，熟悉Scrapy redis等相关分布采集等部署；4.能够懂编写按键精灵代码，实现简单的自动化程序操作（能使用python来做自动化操作者优先）；5.熟悉前端html、jquery、js、css等前端页面的制作；6.熟悉Mysql,PostgreSQL等关系型数据库，以及mongodb等非关系型数据库,能熟练编写调试sql语句、存储过程，索引、性能优化；7.熟悉Python、java、php中至少2门编程语言；7.有一定的审美能力，能够独立设计WEB前端UI界面；8. 逻辑清晰，头脑灵活，表达能力强；9.本科及以上学历。
职能类别：
互联网软件开发工程师
软件工程师

关键字：
全栈工程师
软件工程师
web前端
全栈
后端开发
Odoo
Python
Java
PHP
"
position_infos
"
职能类别：
软件工程师
"
position_infos
"岗位职责:1、参与项目框架和核心模块的设计、实现；2、参与机器学习服务的设计、实现。任职要求：1、2年以上python开发经验，会使用python操作SQL数据库；2、熟悉c语言，java，.net其中之一语言***；3、熟悉VS，kdevelop，等开发工具；4、熟悉基本sql操作，熟悉SQLServer数据库，有过大数据操作经验优先；5、有WEB项目开发经验；6、进行过分布式集群采集；7、有良好英语阅读能力优先。工作地址：深圳市龙岗区坂田里浦街7-1号4楼401（五和地铁站D出口，步行五分钟，一经录用，待遇从优！）工作时间：大小周制，早上09:00-12:00 下午13:30-18:00公司官网：http://www.letron.com.cn/
职能类别：
软件工程师

关键字：
Python
程序员
开发工程师
软件工程师
"
position_infos
"岗位职责：1、参与产品需求的讨论，编写相应的设计文档2、参与产品控制管理功能模块的开发和代码维护3、严格测试，保证代码的可靠，安全岗位要求：1、熟悉 Python 编程，熟悉 Linux 系统，熟悉 shell 编程;2、网络爬虫开发；
职能类别：
软件工程师
手机应用开发工程师
"
position_infos
"岗位职责：1、服务器端架构设计、通讯协议设计、模块划分；2、性能、网络、数据等方面的优化；3、编写服务端代码；4、保证服务端的稳定性、可扩展性、安全性和效率；5、相关工具的开发，相关文档的书写。任职要求1、两年以上python开发经验，有游戏服务端开发经验优先；2、熟悉python及相关的库，熟悉服务端研发环境；3、熟悉多线程、多进程、socket、数据库等相关技术；4、熟练使用mysql，熟悉redis、MQ、celery等常用第三方组件；5、熟悉php后台开发优先。
职能类别：
多媒体/游戏开发工程师
软件工程师
"
position_infos
"
职能类别：
互联网软件开发工程师
软件工程师

关键字：
python
工程师
运维
开发
测试
Web
前端
"
position_infos
"5、熟悉金融和银行业务知识6、工作年限3年以上
职能类别：
大数据开发/分析

关键字：
SAS
R语言
python
金融
大数据分析
数据挖掘
机器学习
"
position_infos
