salary,post,locate
0.8-2万/月,PHP PYTHON开发工程师,深圳
0.8-1.5万/月,软件开发工程师（C#/python）,深圳
5.5-7千/月,Python开发工程师（初级）,深圳
0.8-2.5万/月,python游戏服务端开发工程师,深圳-南山区
4.5-6千/月,初级python开发工程师,深圳-福田区
1-1.5万/月,Python程序员 开发工程师 软件工程师,深圳-龙岗区
1-2.2万/月,银行SAS/R/PYTHON数据分析挖掘建模岗,深圳
0.8-1.6万/月,Python开发工程师,深圳-南山区
0.6-1.2万/月,Python开发工程师,深圳-南山区
1.5-2万/月,云计算开发工程师（python）,深圳-南山区
1.3-1.8万/月,Python开发工程师,深圳-福田区
1-2万/月,Python开发工程师,深圳-南山区
1-1.5万/月,Python web programmer,深圳-福田区
1-2万/月,python开发工程师,深圳
